# HTTP verbs recovered from the CSS class on each doc page's request table
# (class="CHHttpRequest CHHttpRequest_<verb>"). The verb is never rendered as text in the
# docs - it is an image plus this class - so this is the only machine-readable source.
# 200 request blocks across 150 pages, 0 unparsed. The verb column is EVIDENCE.
#
# Two paths are marked CORRECTED: the CSS block provably exists and its verb is reliable, but
# the URL the block printed is wrong, so the path was fixed by hand against the raw HTML:
#   PUT .../orders/ack       - block printed the bySeller URL above it (copy-paste artifact);
#                              its heading, params table and example all say ack.
#   POST .../quickLabels/delete - block printed a bare /resto/api/v2/ (empty bold segment);
#                              completed from the same page's example URL.
#
# verb(s)	path	source_slug(s)	note
POST	/resto/api/auth?login=[login]&pass=[sha1passwordhash]	avtorizatsiya	
GET	/resto/api/corporation/departments/	korporatsii	
GET	/resto/api/corporation/departments/search	korporatsii	
GET	/resto/api/corporation/groups/	korporatsii	
GET	/resto/api/corporation/groups/search	korporatsii	
GET	/resto/api/corporation/settings	korporatsii	
GET	/resto/api/corporation/stores/	korporatsii	
GET	/resto/api/corporation/terminals/	korporatsii	
GET	/resto/api/corporation/terminals/search	korporatsii	
POST	/resto/api/documents/check/incomingInventory	poluchenie-rezultatov-inventarizatsii-do-ee-provedeniya	
GET	/resto/api/documents/export/incomingInvoice	vygruzka-prikhodnykh-nakladnykh	
GET	/resto/api/documents/export/incomingInvoice/byNumber	vygruzka-prikhodnoy-nakladnoy-po-ee-nomeru	
GET	/resto/api/documents/export/outgoingInvoice	vygruzka-raskhodnykh-nakladnykh	
GET	/resto/api/documents/export/outgoingInvoice/byNumber	vygruzka-raskhodnoy-nakladnoy-po-ee-nomeru	
POST	/resto/api/documents/import/incomingInventory	zagruzka-inventarizatsii	
POST	/resto/api/documents/import/incomingInvoice	zagruzka-i-redaktirovanie-prikhodnoy-nakladnoy	
POST	/resto/api/documents/import/outgoingInvoice	zagruzka-i-redaktirovanie-raskhodnoy-nakladnoy	
POST	/resto/api/documents/import/productionDocument	zagruzka-akta-prigotovleniya	
POST	/resto/api/documents/import/returnedInvoice	zagruzka-vozvratnoy-nakladnoy	
POST	/resto/api/documents/import/salesDocument	zagruzka-akta-realizatsii	
POST	/resto/api/documents/unprocess/incomingInvoice	rasprovedenie-prikhodnoy-i-raskhodnoy-nakladnoy	
POST	/resto/api/documents/unprocess/outgoingInvoice	rasprovedenie-prikhodnoy-i-raskhodnoy-nakladnoy	
PUT	/resto/api/edi/{EdiSystem}/invoice	api-edi-5-0	
PUT	/resto/api/edi/{ediSystem}/orders/ack	api-edi-5-0	CORRECTED
GET	/resto/api/edi/{ediSystem}/orders/bySeller?gln={sellerGln}&inn={sellerInn}&kpp={sellerKpp}&name={sellerName}	api-edi-5-0	
POST	/resto/api/edi/{ediSystem}/orders/create	api-edi-5-1-6-4	
GET	/resto/api/edi/{ediSystem}/orders/list?from={dateFrom}&to={dateTo}	api-edi-5-1-6-4	
PUT	/resto/api/edi/{ediSystem}/orders/register	api-edi-5-1-6-4	
PUT	/resto/api/edi/{ediSystem}/orders/send	api-edi-5-1-6-4	
PUT	/resto/api/edi/{ediSystem}/orders/unregister	api-edi-5-1-6-4	
PUT	/resto/api/edi/{ediSystem}/orders/update	api-edi-5-1-6-4	
PUT	/resto/api/edi/{ediSystem}/response	api-edi-5-0	
GET	/resto/api/employees	rabota-s-dannymi-sotrudnikovv	
GET	/resto/api/employees/attendance/byDepartment/{departmentCode}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-yavok	
GET	/resto/api/employees/attendance/byDepartment/{departmentCode}/byEmployee/{employeeUUID}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-yavok	
GET	/resto/api/employees/attendance/byEmployee/{employeeUUID}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-yavok	
DELETE	/resto/api/employees/attendance/byId/{attendanceUUID}	rabota-s-dannymi-yavok	
POST	/resto/api/employees/attendance/create	rabota-s-dannymi-yavok	
GET	/resto/api/employees/attendance/department/{departmentId}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-yavok	
GET	/resto/api/employees/attendance/department/{departmentId}/byEmployee/{employeeUUID}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-yavok	
GET	/resto/api/employees/attendance/types	rabota-s-dannymi-yavok	
POST	/resto/api/employees/attendance/update	rabota-s-dannymi-yavok	
GET	/resto/api/employees/attendance?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-yavok	
GET	/resto/api/employees/availability/list?from={YYYY-MM-DD}&to={YYYY-MM-DD}&department={departmentUUID}&role={roleUUID}&user={userUUID}	rabota-s-dannymi-yavok	
GET,PUT	/resto/api/employees/byCode/{employeeCode}	rabota-s-dannymi-sotrudnikovv	
GET	/resto/api/employees/byDepartment/{departmentCode}	rabota-s-dannymi-sotrudnikovv	
GET	/resto/api/employees/byId/{UUID}	rabota-s-dannymi-sotrudnikovv	
DELETE,GET,POST	/resto/api/employees/byId/{employeeUUID}	rabota-s-dannymi-sotrudnikovv	
GET	/resto/api/employees/roles	rabota-s-dannymi-dolzhnostey	
GET	/resto/api/employees/salary	rabota-s-dannymi-oklada	
GET	/resto/api/employees/salary/byId/{employeeUUID}	rabota-s-dannymi-oklada	
GET,POST	/resto/api/employees/salary/byId/{employeeUUID}/{YYYY-MM-DD}	rabota-s-dannymi-oklada	
GET	/resto/api/employees/schedule/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/schedule/byDepartment/{departmentCode}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/schedule/byDepartment/{departmentCode}/byEmployee/{employeeUUID}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/schedule/byEmployee/{employeeUUID}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-smeny-i-raspisaniy	
DELETE	/resto/api/employees/schedule/byId/{scheduleUUID}	rabota-s-dannymi-smeny-i-raspisaniy	
POST	/resto/api/employees/schedule/create	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/schedule/department/{departmentId}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/schedule/department/{departmentId}/byEmployee/{employeeUUID}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/schedule/types	rabota-s-dannymi-smeny-i-raspisaniy	
POST	/resto/api/employees/schedule/update	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/search?firstName={regexp}&middleName={regexp}	rabota-s-dannymi-sotrudnikovv	
GET	/resto/api/employees/waiterTeams	rabota-s-dannymi-brigad	
GET,PUT	/resto/api/employees/waiterTeams/assignments	rabota-s-dannymi-brigad	
GET	/resto/api/employees/waiterTeams/assignments/byDepartment/{departmentId}	rabota-s-dannymi-brigad	
PUT	/resto/api/employees/waiterTeams/byCode/{teamCode}	rabota-s-dannymi-brigad	
GET	/resto/api/employees/waiterTeams/byDepartment/{departmentUUID}	rabota-s-dannymi-brigad	
POST,PUT	/resto/api/employees/waiterTeams/byId/{UUID}	rabota-s-dannymi-brigad	
DELETE,GET	/resto/api/employees/waiterTeams/byId/{teamUUID}	rabota-s-dannymi-brigad	
